Rest Timestamp,Executor,Process Owner,Rest Operation ID,Rest Object ID,Rest Object Type,Rest Object Description,Rest Time (min),Rest Dissolved,Notes
2024-03-28T12:10:00,dasb,dasb,RST-2024-03-28T12:10:00-dasb:02-000039for5min,02-000039,Precursor,1M PbI2 in HBr,5,Y,
2024-03-29T12:20:00,lteresa,dasb,RST-2024-03-29T12:20:00-lteresa:02-000042for60min,02-000042,Precursor,0.5M CsI in HI,60,N,Partial crystallization after cooling.
2024-03-29T12:20:00,lteresa,dasb,RST-2024-03-29T12:20:00-lteresa:02-000043for60min,02-000043,Precursor,0.2M CsI in HI,60,Y,
2024-04-02T12:15:00,lteresa,dasb,RST-2024-04-02T12:15:00-lteresa:02-000045for10min,02-000045,Precursor,1M RbBr in HBr,10,N,Dissolved after 10 min on hotplate but some recrystallization after 10 minutes cooling
2024-04-02T12:15:00,lteresa,dasb,RST-2024-04-02T12:15:00-lteresa:02-000046for10min,02-000046,Precursor,0.8M RbBr in HBr,10,Y,"Still dissolved after 10 minutes, but hours later there were some crystals present.Crystals larger in size than those of 1M mixture.  Maybe possible to do heated transfers, but not good for long-term stock solutions"
2024-04-02T12:15:00,lteresa,dasb,RST-2024-04-02T12:15:00-lteresa:02-000047for10min,02-000047,Precursor,0.5M RbBr in HBr,10,Y,
2024-04-02T12:15:00,lteresa,dasb,RST-2024-04-02T12:15:00-lteresa:02-000048for10min,02-000048,Precursor,0.2M RbBr in HBr,10,Y,
2024-04-05T12:20:00,lteresa,dasb,RST-2024-04-05T12:20:00-lteresa:02-000049for60min,02-000049,Precursor,0.5M RbBr in HBr,60,Y,Same as 02-000049 but after cooling
2024-04-05T12:20:00,lteresa,dasb,RST-2024-04-05T12:20:00-lteresa:02-000050for60min,02-000050,Precursor,0.5M BiBr3 in HBr,60,Y,Same as 02-000050 but after cooling
2024-04-05T12:15:00,lteresa,dasb,RST-2024-04-05T12:15:00-lteresa:02-000052for60min,02-000052,Precursor,0.5M PbBr2 in HBr,60,Y,
2024-04-05T12:15:00,lteresa,dasb,RST-2024-04-05T12:15:00-lteresa:02-000053for60min,02-000053,Precursor,0.5M SbBr3 in HBr,60,Y,
2024-05-14T12:15:00,lteresa,dasb,RST-2024-05-14T12:15:00-lteresa:02-000054for210min,02-000054,Precursor,1M InBr3 in HBr,210,Y,
2024-05-14T12:21:00,lteresa,dasb,RST-2024-05-14T12:21:00-lteresa:02-000055for210min,02-000055,Precursor,1M InI3 in HI,210,Y,
