Rest Timestamp,Executor,Process Owner,Rest Operation ID,Rest Object ID,Rest Object Description,Rest Time (min),Rest Dissolved,Notes,,,,,,,,,,,,,,,,,,
2024-03-27T12:20:00,lteresa,dasb,RST-2024-03-27T12:20:00-lteresa:02-000035for60min,02-000035,0.5M CsCH3COO in HI,60,N,Partial Recrystallization,,,,,,,,,,,,,,,,,,
2024-03-27T12:20:00,lteresa,dasb,RST-2024-03-27T12:20:00-lteresa:02-000036for60min,02-000036,0.2M CsCH3COO in HI,60,Y,,,,,,,,,,,,,,,,,,,
2024-03-27T12:15:00,lteresa,dasb,RST-2024-03-27T12:15:00-lteresa:02-000037for60min,02-000037,0.2M SbI3 in HI,60,Y,,,,,,,,,,,,,,,,,,,
2024-03-28T12:10:00,dasb,dasb,RST-2024-03-28T12:10:00-dasb:02-000038for5min,02-000038,1M CsCH3COO in HBr,5,Y,,,,,,,,,,,,,,,,,,,
2024-03-28T12:10:00,dasb,dasb,RST-2024-03-28T12:10:00-dasb:02-000039for5min,02-000039,1M PbI2 in HBr,5,Y,,,,,,,,,,,,,,,,,,,
2024-03-29T12:20:00,lteresa,dasb,RST-2024-03-29T12:20:00-lteresa:02-000042for60min,02-000042,0.5M CsI in HI,60,N,Partial crystallization after cooling.,,,,,,,,,,,,,,,,,,
2024-03-29T12:20:00,lteresa,dasb,RST-2024-03-29T12:20:00-lteresa:02-000043for60min,02-000043,0.2M CsI in HI,60,Y,,,,,,,,,,,,,,,,,,,
2024-04-02T12:15:00,lteresa,dasb,RST-2024-04-02T12:15:00-lteresa:02-000045for10min,02-000045,1M RbBr in HBr,10,N,Dissolved after 10 min on hotplate but some recrystallization after 10 minutes cooling,,,,,,,,,,,,,,,,,,
2024-04-02T12:15:00,lteresa,dasb,RST-2024-04-02T12:15:00-lteresa:02-000046for10min,02-000046,0.8M RbBr in HBr,10,Y,"Still dissolved after 10 minutes, but hours later there were some crystals present.Crystals larger in size than those of 1M mixture.  Maybe possible to do heated transfers, but not good for long-term stock solutions",,,,,,,,,,,,,,,,,,
2024-04-02T12:15:00,lteresa,dasb,RST-2024-04-02T12:15:00-lteresa:02-000047for10min,02-000047,0.5M RbBr in HBr,10,Y,,,,,,,,,,,,,,,,,,,
2024-04-02T12:15:00,lteresa,dasb,RST-2024-04-02T12:15:00-lteresa:02-000048for10min,02-000048,0.2M RbBr in HBr,10,Y,,,,,,,,,,,,,,,,,,,
2024-04-05T12:20:00,lteresa,dasb,RST-2024-04-05T12:20:00-lteresa:02-000049for60min,02-000049,0.5M RbBr in HBr,60,Y,Same as 02-000049 but after cooling,,,,,,,,,,,,,,,,,,
2024-04-05T12:20:00,lteresa,dasb,RST-2024-04-05T12:20:00-lteresa:02-000050for60min,02-000050,0.5M BiBr3 in HBr,60,Y,Same as 02-000050 but after cooling,,,,,,,,,,,,,,,,,,
2024-04-05T12:15:00,lteresa,dasb,RST-2024-04-05T12:15:00-lteresa:02-000052for60min,02-000052,0.5M PbBr2 in HBr,60,Y,,,,,,,,,,,,,,,,,,,
2024-04-05T12:15:00,lteresa,dasb,RST-2024-04-05T12:15:00-lteresa:02-000053for60min,02-000053,0.5M SbBr3 in HBr,60,Y,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-13T12:24,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-13T12:21,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-14T12:10,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-14T12:10,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-14T12:10,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-14T12:10,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-15T12:20,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-15T12:20,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,2024-03-13T12:24,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,2024-03-13T12:21,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-14T12:10,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-14T12:10,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-14T12:10,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,2024-03-14T12:10,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,2024-03-15T12:20,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,2024-03-15T12:20,,,2024-03-22T12:10,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-22T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:15,,,2024-03-27T12:20,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:15,,,2024-03-27T12:20,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:15,,,2024-03-27T12:20,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:15,,,2024-03-27T12:20,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-27T12:15,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-28T12:10,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-28T12:10,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:10,,,2024-03-29T12:20,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:15,,,2024-03-29T12:20,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:15,,,2024-03-29T12:20,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:15,,,2024-03-29T12:20,,,,,,,,,,,
,,,,,,,,,,,,2024-03-22T12:15,,,2024-04-01T12:35,,,,,,,,,,,
